"","X","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"1",1,"Urban","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2",2,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"3",3,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"4",4,"Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"5",5,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"6",6,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"7",7,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"8",8,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"9",10,"Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","5-6"
"10",11,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"11",12,"Urban","Yes","Tanker truck","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"12",13,"Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","3-4"
"13",14,"Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"14",15,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"15",16,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"16",17,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"17",18,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"18",19,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"19",20,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"20",21,"Urban","No","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"21",22,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"22",23,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"23",24,"Urban","Yes","Rain water","More than 15 minutes","Own flush toilet","Finished floor","3-4"
"24",25,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"25",26,"Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"26",27,"Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"27",28,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"28",29,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"29",30,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"30",31,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"31",32,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"32",33,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"33",34,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"34",35,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"35",36,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"36",37,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"37",38,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"38",39,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"39",40,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"40",41,"Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","5-6"
"41",42,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"42",43,"Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"43",44,"Urban","Yes","Public well","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"44",45,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"45",46,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"46",47,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"47",48,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"48",49,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"49",50,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"50",51,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"51",52,"Urban","Yes","Spring","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"52",53,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"53",54,"Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","1-2"
"54",55,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"55",56,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"56",57,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","7+"
"57",58,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"58",59,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"59",60,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"60",61,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"61",62,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"62",63,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"63",64,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"64",65,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"65",66,"Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"66",67,"Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"67",68,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"68",69,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"69",70,"Urban","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"70",71,"Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"71",72,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"72",73,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"73",74,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"74",75,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"75",76,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"76",77,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"77",78,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"78",79,"Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
