"","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"1","Urban","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"3","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"4","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"5","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"6","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"7","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"8","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"9","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","Dont know/missing"
"10","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","5-6"
"11","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"12","Urban","Yes","Tanker truck","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"13","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","3-4"
"14","Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"15","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"16","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"17","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"18","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"19","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"20","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"21","Urban","No","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"22","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"23","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"24","Urban","Yes","Rain water","More than 15 minutes","Own flush toilet","Finished floor","3-4"
"25","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"26","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"27","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"28","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"29","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"30","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"31","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"32","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"33","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"34","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"35","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"36","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"37","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"38","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"39","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"40","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"41","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","5-6"
"42","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"43","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"44","Urban","Yes","Public well","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"45","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"46","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"47","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"48","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"49","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"50","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"51","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"52","Urban","Yes","Spring","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"53","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"54","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","1-2"
"55","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"56","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"57","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","7+"
